label,repeat_index,seed,runtime_seconds,non_iid_alpha,n_agents,topology,communication_budget,marl_accuracy,marl_precision,marl_recall,marl_f1,marl_roc_auc,marl_bytes_sent_total,marl_avg_latency_ms,marl_packet_loss_mean,marl_energy_total,marl_n_events,local_accuracy,local_precision,local_recall,local_f1,local_roc_auc,naive_accuracy,naive_precision,naive_recall,naive_f1,naive_roc_auc,local_bytes_sent_total,local_avg_latency_ms,local_packet_loss_mean,local_energy_total,local_n_events,naive_bytes_sent_total,naive_avg_latency_ms,naive_packet_loss_mean,naive_energy_total,naive_n_events
communication_budget-0p25__n_agents-5__non_iid_alpha-0p1__topology-ring__8d71045e,0,1000,0.5222879039938562,0.1,5,ring,0.25,0.9320430107526881,0.8583333333333332,0.82,0.8169453734671126,0.8114845938375351,1160.0,12.831842484858615,0.022083917538364167,21.020562850123504,5.0,0.9304301075268817,0.8404761904761905,0.78,0.7913043478260869,,0.9704301075268816,0.85,0.9199999999999999,0.8770186335403725,,0.0,0.0,0.0,0.0,0.0,1040.0,11.88062729865185,0.009365639229457799,14.623567052009689,5.0
communication_budget-0p25__n_agents-5__non_iid_alpha-0p1__topology-ring__8d71045e,1,1001,0.44934819400077686,0.1,5,ring,0.25,0.9984,1.0,0.9,0.9333333333333333,0.9491869918699187,1160.0,11.941398566587054,0.019731427289153492,21.526756950142435,5.0,0.9968,0.8,0.8,0.8,,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,1040.0,11.791136608952115,0.010661466366091308,14.662054954213545,5.0
communication_budget-0p5__n_agents-5__non_iid_alpha-0p1__topology-ring__a16de4de,0,1000,0.5013632089976454,0.1,5,ring,0.5,0.9320430107526881,0.8583333333333332,0.82,0.8169453734671126,0.8114845938375351,1160.0,12.831842484858615,0.022083917538364167,21.020562850123504,5.0,0.9304301075268817,0.8404761904761905,0.78,0.7913043478260869,,0.9704301075268816,0.85,0.9199999999999999,0.8770186335403725,,0.0,0.0,0.0,0.0,0.0,1040.0,11.88062729865185,0.009365639229457799,14.623567052009689,5.0
communication_budget-0p5__n_agents-5__non_iid_alpha-0p1__topology-ring__a16de4de,1,1001,0.41165334499964956,0.1,5,ring,0.5,0.9984,1.0,0.9,0.9333333333333333,0.9491869918699187,1160.0,11.941398566587054,0.019731427289153492,21.526756950142435,5.0,0.9968,0.8,0.8,0.8,,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,1040.0,11.791136608952115,0.010661466366091308,14.662054954213545,5.0
communication_budget-1p0__n_agents-5__non_iid_alpha-0p1__topology-ring__7abe820c,0,1000,0.5022441710025305,0.1,5,ring,1.0,0.9320430107526881,0.8583333333333332,0.82,0.8169453734671126,0.8114845938375351,2320.0,16.303195295814625,0.03385087363414301,21.258518781431253,5.0,0.9304301075268817,0.8404761904761905,0.78,0.7913043478260869,,0.9704301075268816,0.85,0.9199999999999999,0.8770186335403725,,0.0,0.0,0.0,0.0,0.0,1040.0,11.88062729865185,0.009365639229457799,14.623567052009689,5.0
communication_budget-1p0__n_agents-5__non_iid_alpha-0p1__topology-ring__7abe820c,1,1001,0.4484515109943459,0.1,5,ring,1.0,0.9984,1.0,0.9,0.9333333333333333,0.9491869918699187,2320.0,16.44177614749707,0.028650153627627184,21.746301857911398,5.0,0.9968,0.8,0.8,0.8,,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,1040.0,11.791136608952115,0.010661466366091308,14.662054954213545,5.0
communication_budget-0p25__n_agents-5__non_iid_alpha-0p1__topology-star__9a347966,0,1000,0.521006381000916,0.1,5,star,0.25,0.9320430107526881,0.8583333333333332,0.82,0.8169453734671126,0.8114845938375351,1160.0,15.302104027195432,0.028780271489446424,21.02105979296806,5.0,0.9304301075268817,0.8404761904761905,0.78,0.7913043478260869,,0.9704301075268816,0.85,0.9199999999999999,0.8770186335403725,,0.0,0.0,0.0,0.0,0.0,832.0,11.240627298651852,0.009365639229457799,14.58254313037937,5.0
communication_budget-0p25__n_agents-5__non_iid_alpha-0p1__topology-star__9a347966,1,1001,0.4171739299999899,0.1,5,star,0.25,0.9984,1.0,0.9,0.9333333333333333,0.9491869918699187,1160.0,14.969689482456726,0.027851099664725192,21.525478639192347,5.0,0.9968,0.8,0.8,0.8,,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,832.0,11.151136608952118,0.010661466366091308,14.623618987163931,5.0
communication_budget-0p5__n_agents-5__non_iid_alpha-0p1__topology-star__6b8e62d0,0,1000,0.5537047570032883,0.1,5,star,0.5,0.9320430107526881,0.8583333333333332,0.82,0.8169453734671126,0.8114845938375351,1392.0,15.613292194376376,0.02771552667380281,21.070825603858975,5.0,0.9304301075268817,0.8404761904761905,0.78,0.7913043478260869,,0.9704301075268816,0.85,0.9199999999999999,0.8770186335403725,,0.0,0.0,0.0,0.0,0.0,832.0,11.240627298651852,0.009365639229457799,14.58254313037937,5.0
communication_budget-0p5__n_agents-5__non_iid_alpha-0p1__topology-star__6b8e62d0,1,1001,0.41700779999519,0.1,5,star,0.5,0.9984,1.0,0.9,0.9333333333333333,0.9491869918699187,1392.0,15.155595989997432,0.027561144724605913,21.571101860952187,5.0,0.9968,0.8,0.8,0.8,,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,832.0,11.151136608952118,0.010661466366091308,14.623618987163931,5.0
communication_budget-1p0__n_agents-5__non_iid_alpha-0p1__topology-star__228ca9ae,0,1000,0.5171280860013212,0.1,5,star,1.0,0.9320430107526881,0.8583333333333332,0.82,0.8169453734671126,0.8114845938375351,1856.0,16.706031042442355,0.0319140627553343,21.15547484177278,5.0,0.9304301075268817,0.8404761904761905,0.78,0.7913043478260869,,0.9704301075268816,0.85,0.9199999999999999,0.8770186335403725,,0.0,0.0,0.0,0.0,0.0,832.0,11.240627298651852,0.009365639229457799,14.58254313037937,5.0
communication_budget-1p0__n_agents-5__non_iid_alpha-0p1__topology-star__228ca9ae,1,1001,0.41238062999764225,0.1,5,star,1.0,0.9984,1.0,0.9,0.9333333333333333,0.9491869918699187,1856.0,16.268171618487617,0.03041361011945306,21.653162655475068,5.0,0.9968,0.8,0.8,0.8,,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,832.0,11.151136608952118,0.010661466366091308,14.623618987163931,5.0
